hand_type,player_hand,2,3,4,5,6,7,8,9,10,A
hard,4-7,H,H,H,H,H,H,H,H,H,H
hard,8,H,H,H,Dh,Dh,H,H,H,H,H
hard,9,Dh,Dh,Dh,Dh,Dh,H,H,H,H,H
hard,10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
hard,11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh
hard,12,H,H,S,S,S,H,H,H,H,H
hard,13,S,S,S,S,S,H,H,H,H,H
hard,14,S,S,S,S,S,H,H,H,H,H
hard,15,S,S,S,S,S,H,H,H,H,Rh
hard,16,S,S,S,S,S,H,H,H,Rh,Rh
hard,17,S,S,S,S,S,S,S,S,S,Rs
hard,18+,S,S,S,S,S,S,S,S,S,S
soft,13,H,H,Dh,Dh,Dh,H,H,H,H,H
soft,14,H,H,Dh,Dh,Dh,H,H,H,H,H
soft,15,H,H,Dh,Dh,Dh,H,H,H,H,H
soft,16,H,H,Dh,Dh,Dh,H,H,H,H,H
soft,17,Dh,Dh,Dh,Dh,Dh,H,H,H,H,H
soft,18,S,Ds,Ds,Ds,Ds,S,S,H,H,H
soft,19,S,S,S,S,Ds,S,S,S,S,S
soft,20+,S,S,S,S,S,S,S,S,S,S
splits,"2,2",Ph,P,P,P,P,P,H,H,H,H
splits,"3,3",Ph,Ph,P,P,P,P,Ph,H,H,H
splits,"4,4",H,H,Ph,Pd,Pd,H,H,H,H,H
splits,"6,6",P,P,P,P,P,Ph,H,H,H,H
splits,"7,7",P,P,P,P,P,P,Ph,H,Rs,Rh
splits,"8,8",P,P,P,P,P,P,P,P,P,P
splits,"9,9",P,P,P,P,P,S,P,P,S,Ps
splits,"A,A",P,P,P,P,P,P,P,P,P,P
